Date,Ozone AQI Value,AQI Category,Site Name,Site ID,Source
02/21/2020,58,Moderate,Pasadena,06-037-2005,AQS
02/22/2020,41,Good,Pasadena,06-037-2005,AQS
02/23/2020,47,Good,Pasadena,06-037-2005,AQS
02/24/2020,44,Good,Pasadena,06-037-2005,AQS
02/25/2020,46,Good,Pasadena,06-037-2005,AQS
02/26/2020,43,Good,Santa Clarita,06-037-6012,AQS
02/27/2020,43,Good,Pasadena,06-037-2005,AQS
02/28/2020,45,Good,Reseda,06-037-1201,AQS
02/29/2020,50,Good,Reseda,06-037-1201,AQS
03-01-20,46,Good,Reseda,06-037-1201,AQS
03-02-20,44,Good,Pasadena,06-037-2005,AQS
03-03-20,44,Good,Pasadena,06-037-2005,AQS
03-04-20,44,Good,Reseda,06-037-1201,AQS
03-05-20,58,Moderate,Reseda,06-037-1201,AQS
03-06-20,58,Moderate,Santa Clarita,06-037-6012,AQS
03-07-20,41,Good,Pomona,06-037-1701,AQS
03-08-20,42,Good,Pasadena,06-037-2005,AQS
03-09-20,37,Good,Pasadena,06-037-2005,AQS
03-10-20,28,Good,Pasadena,06-037-2005,AQS
03-11-20,41,Good,Reseda,06-037-1201,AQS
03-12-20,31,Good,Azusa,06-037-0002,AQS
03/13/2020,37,Good,Santa Clarita,06-037-6012,AQS
03/14/2020,41,Good,Reseda,06-037-1201,AQS
03/15/2020,43,Good,Pasadena,06-037-2005,AQS
03/16/2020,38,Good,Lancaster-Division Street,06-037-9033,AQS
03/17/2020,42,Good,Pasadena,06-037-2005,AQS
03/18/2020,44,Good,Reseda,06-037-1201,AQS
03/19/2020,44,Good,Reseda,06-037-1201,AQS
03/20/2020,43,Good,Pasadena,06-037-2005,AQS
03/21/2020,47,Good,Reseda,06-037-1201,AQS
03/22/2020,43,Good,Pasadena,06-037-2005,AQS
03/23/2020,45,Good,Pasadena,06-037-2005,AQS
03/24/2020,43,Good,Pasadena,06-037-2005,AQS
03/25/2020,44,Good,Pasadena,06-037-2005,AQS
03/26/2020,45,Good,Pasadena,06-037-2005,AQS
03/27/2020,47,Good,Reseda,06-037-1201,AQS
03/28/2020,51,Moderate,Pasadena,06-037-2005,AQS
03/29/2020,51,Moderate,Pasadena,06-037-2005,AQS
03/30/2020,54,Moderate,Pasadena,06-037-2005,AQS
03/31/2020,74,Moderate,Pasadena,06-037-2005,AQS
04-01-20,67,Moderate,Glendora,06-037-0016,AQS
04-02-20,49,Good,Reseda,06-037-1201,AQS
04-03-20,54,Moderate,Pasadena,06-037-2005,AQS
04-04-20,50,Good,Reseda,06-037-1201,AQS
04-05-20,37,Good,Pomona,06-037-1701,AQS
04-06-20,41,Good,Reseda,06-037-1201,AQS
04-07-20,40,Good,Reseda,06-037-1201,AQS
04-08-20,43,Good,Reseda,06-037-1201,AQS
04-09-20,35,Good,Reseda,06-037-1201,AQS
04-10-20,42,Good,Pasadena,06-037-2005,AQS
04-11-20,49,Good,Pasadena,06-037-2005,AQS
04-12-20,39,Good,Reseda,06-037-1201,AQS
04/13/2020,38,Good,Reseda,06-037-1201,AQS
04/14/2020,51,Moderate,Glendora,06-037-0016,AQS
04/15/2020,74,Moderate,Pasadena,06-037-2005,AQS
04/16/2020,71,Moderate,Pasadena,06-037-2005,AQS
04/17/2020,43,Good,Reseda,06-037-1201,AQS
04/18/2020,40,Good,Pasadena,06-037-2005,AQS
04/19/2020,44,Good,Pasadena,06-037-2005,AQS
04/20/2020,42,Good,Pasadena,06-037-2005,AQS
04/21/2020,47,Good,Pasadena,06-037-2005,AQS
04/22/2020,100,Moderate,Glendora,06-037-0016,AQS
04/23/2020,140,Unhealthy for Sensitive Groups,Glendora,06-037-0016,AQS
04/24/2020,143,Unhealthy for Sensitive Groups,Pomona,06-037-1701,AQS
04/25/2020,182,Unhealthy,Pasadena,06-037-2005,AQS
